iter	Passed	Remaining
0	137	137506
1	142	71320
2	146	48619
3	149	37105
4	153	30556
5	157	26167
6	161	22941
7	164	20397
8	167	18497
9	171	16967
10	174	15708
11	177	14623
12	180	13703
13	184	12976
14	187	12304
15	188	11613
16	195	11292
17	199	10910
18	203	10512
19	206	10142
20	210	9831
21	214	9549
22	219	9311
23	225	9174
24	231	9020
25	237	8891
26	241	8688
27	244	8498
28	248	8304
29	252	8171
30	257	8057
31	261	7910
32	266	7795
33	271	7704
34	276	7620
35	284	7613
36	288	7519
37	290	7352
38	294	7252
39	296	7104
40	298	6989
41	300	6861
42	304	6767
43	305	6630
44	307	6515
45	309	6416
46	311	6322
47	313	6215
48	315	6131
49	317	6033
50	320	5956
51	322	5872
52	323	5779
53	326	5718
54	328	5647
55	330	5579
56	332	5500
57	335	5449
58	337	5376
59	338	5303
60	340	5239
61	342	5176
62	343	5109
63	344	5044
64	348	5008
65	350	4953
66	351	4891
67	353	4848
68	355	4791
69	359	4772
70	361	4727
71	363	4684
72	366	4649
73	368	4607
74	370	4566
75	372	4531
76	378	4542
77	380	4494
78	381	4451
79	384	4424
80	386	4382
81	387	4339
82	390	4310
83	392	4276
84	393	4235
85	394	4195
86	396	4157
87	397	4119
88	399	4084
89	401	4056
90	402	4024
91	404	3990
92	405	3956
93	407	3926
94	408	3895
95	410	3864
96	411	3831
97	413	3801
98	414	3774
99	416	3744
100	417	3712
101	418	3681
102	419	3652
103	420	3621
104	421	3594
105	422	3566
106	424	3539
107	425	3518
108	427	3493
109	428	3468
110	430	3444
111	431	3422
112	433	3400
113	435	3386
114	437	3365
115	439	3348
116	441	3328
117	442	3307
118	444	3288
119	445	3268
120	446	3246
121	447	3222
122	449	3201
123	450	3184
124	451	3163
125	453	3146
126	454	3124
127	455	3106
128	457	3090
129	458	3071
130	460	3052
131	461	3035
132	463	3018
133	464	3000
134	465	2982
135	466	2964
136	468	2949
137	470	2937
138	471	2921
139	472	2904
140	474	2889
141	475	2872
142	476	2855
143	477	2839
144	478	2824
145	480	2813
146	482	2798
147	483	2784
148	485	2770
149	486	2759
150	488	2745
151	489	2732
152	491	2718
153	492	2705
154	493	2692
155	495	2681
156	497	2669
157	498	2657
158	500	2646
159	501	2633
160	502	2618
161	503	2606
162	506	2598
163	507	2585
164	508	2575
165	510	2565
166	512	2555
167	513	2544
168	515	2532
169	516	2522
170	518	2511
171	519	2500
172	520	2489
173	522	2480
174	524	2470
175	525	2459
176	526	2447
177	527	2438
178	529	2427
179	530	2416
180	531	2405
181	532	2394
182	533	2382
183	535	2372
184	536	2362
185	537	2352
186	538	2341
187	539	2331
188	541	2322
189	542	2314
190	543	2303
191	545	2294
192	546	2285
193	548	2277
194	549	2267
195	550	2257
196	551	2247
197	552	2238
198	554	2232
199	555	2223
200	557	2215
201	558	2207
202	560	2200
203	561	2191
204	562	2182
205	563	2173
206	565	2167
207	567	2160
208	568	2152
209	569	2143
210	571	2137
211	574	2135
212	576	2128
213	580	2130
214	582	2128
215	594	2157
216	599	2162
217	600	2155
218	604	2156
219	606	2148
220	607	2141
221	611	2143
222	613	2138
223	619	2144
224	624	2150
225	629	2156
226	631	2150
227	632	2142
228	637	2147
229	641	2148
230	643	2142
231	645	2136
232	648	2133
233	649	2127
234	651	2120
235	654	2117
236	655	2110
237	657	2104
238	660	2101
239	662	2097
240	664	2094
241	667	2089
242	668	2083
243	671	2079
244	672	2073
245	674	2067
246	675	2060
247	677	2055
248	679	2048
249	680	2042
250	682	2036
251	683	2030
252	685	2024
253	686	2017
254	688	2010
255	690	2007
256	692	2003
257	694	1997
258	696	1991
259	697	1986
260	699	1979
261	700	1972
262	701	1966
263	703	1960
264	704	1954
265	706	1948
266	707	1941
267	709	1938
268	711	1933
269	712	1926
270	714	1920
271	715	1914
272	716	1908
273	718	1902
274	719	1896
275	720	1890
276	722	1885
277	723	1879
278	724	1873
279	726	1869
280	728	1864
281	730	1858
282	731	1852
283	732	1847
284	734	1843
285	736	1838
286	737	1832
287	739	1828
288	741	1823
289	742	1817
290	743	1812
291	745	1807
292	746	1802
293	748	1796
294	749	1790
295	751	1786
296	752	1781
297	754	1776
298	755	1771
299	757	1766
300	758	1762
301	760	1756
302	761	1751
303	763	1747
304	764	1742
305	765	1737
306	766	1731
307	768	1726
308	770	1722
309	771	1717
310	772	1712
311	774	1707
312	775	1702
313	776	1697
314	778	1692
315	779	1687
316	781	1682
317	782	1678
318	783	1672
319	784	1668
320	786	1663
321	787	1658
322	789	1654
323	790	1649
324	792	1644
325	793	1640
326	795	1636
327	796	1631
328	797	1627
329	799	1623
330	801	1619
331	802	1614
332	803	1609
333	805	1606
334	807	1602
335	808	1598
336	809	1593
337	811	1589
338	813	1586
339	815	1582
340	816	1578
341	818	1574
